"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"3/2/2026 12:48 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mg3ss6ann32i","Bluesky","Post","Photo","'@pearlscore.bsky.social","Katherine Cahill","https://bsky.app/profile/pearlscore.bsky.social/post/3mg3ss6ann32i","Five years ago, asking about solar readiness, EV charging, and energy independence when buying a home was unusual. Today it's the new normal.

Read more on the blog → https://bit.ly/3MwRxpf",,"","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_B2B Content Marketing_2026, blog"
"2/27/2026 5:01 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mfupjrpuzu2b","Bluesky","Post","Link","'@pearlscore.bsky.social","Katherine Cahill","https://bsky.app/profile/pearlscore.bsky.social/post/3mfupjrpuzu2b","60% of homeowners are deferring maintenance. Pearl SCORE™ brings that kind of insight to light — giving agents another way to add value throughout the transaction. Our CEO Cynthia Adams shares more → https://bit.ly/3OJ1uRb","https://bit.ly/3OJ1uRb","","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_Corporate"
"2/27/2026 8:49 am","680101572127013_1573851277911979","Facebook","Post","Link","Pearl SCORE","Katherine Cahill","https://www.facebook.com/469583165005468/posts/1573851277911979","There's a lot more to a home than what you can see in photos — and now there's a way to measure it.

Every single-family home in America now has a Pearl SCORE™ — a rating from 1 to 1,000 that measures five things that shape daily life: safety, comfort, operations, resilience, and energy.
Think of it like a report card for a house. It takes all the technical stuff — insulation ratings, HVAC efficiency, air quality — and translates it into clear answers about what a home costs to run, how comfortable it is, and how well it holds up over time.

For homeowners, it means you can claim your home's profile and update it for free. If you've invested in things like new windows, better insulation, solar panels, or a smart thermostat, you can make sure that value is captured and visible — so when it comes time to sell, you get credit for the upgrades you've made.

For real estate agents, Pearl SCORE™ offers a standardized way to talk about home performance with clients — no building science degree required. It's one more tool to help guide buyers and showcase the full value of a seller's home.

Our CEO Cynthia Adams sat down for a Q&A on what home performance ratings mean for the housing market — check it out → ","https://bit.ly/3OJ1uRb","178","178","0","120","120","0","","13.48%","24","11","9","","2","0","0","0","0","1","0","","6","","6","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_Corporate"
"2/25/2026 12:46 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mfpadybhz42t","Bluesky","Post","Link","'@pearlscore.bsky.social","Katherine Cahill","https://bsky.app/profile/pearlscore.bsky.social/post/3mfpadybhz42t","Pearl's Pamela Brookstein is joining a panel tomorrow on high-performance green homes, hosted by the Chicago Association of REALTORS®.

How to spot features that matter, why they're worth more, and what to look for when buying or selling.

Join us → https://bit.ly/4tzDpw3","https://chicagorealtor.com/event/elevated-living-high-performance-green-homes/","","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_B2B Content Marketing_2026"
"2/25/2026 10:46 am","7432450834304761857","LinkedIn","Post","Link","Pearl","Katherine Cahill","https://linkedin.com/feed/update/urn:li:share:7432450834304761857","The conversation around home value is expanding. Buyers are increasingly interested in how a home performs — air quality, energy costs, comfort — alongside how it looks.

This Thursday, Feb. 26 at 11 AM CT, the Chicago Association of REALTORS® is hosting a free webinar: ""Elevated Living: High-Performance Green Homes.""

Pearl's Pamela Brookstein will share national data on how high-performance homes are outperforming the market. MRED Trainer Matthew Litzenberger will walk through using MLS green fields to spotlight energy and performance features in your listings. And Wayne Beals, GREEN will share a real client story about how Pearl helped tell the full story of a home's efficiency and comfort.

It's practical, it's free for members, and it's a great way to deepen how you serve your clients on this growing topic.

Register: https://bit.ly/4tzDpw3","https://bit.ly/4tzDpw3","389","389","","","","","","8.23%","32","14","14","","","","","","","1","1","","16","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD_Early Access_2026"
"2/25/2026 9:46 am","680101572127013_1572013844762389","Facebook","Post","Link","Pearl SCORE","Katherine Cahill","https://www.facebook.com/469583165005468/posts/1572013844762389","Buyers are paying more attention to how a home performs — energy costs, air quality, overall comfort — and that means more opportunities to add value for your clients.

This Thursday, Feb. 26 at 11 AM CT, the Chicago Association of REALTORS is hosting a free webinar: ""Elevated Living: High-Performance Green Homes."" 
Pearl's Pamela Brookstein will share national data on high-performance homes and resale value. MRED Trainer Matthew Litzenberger will cover how to use MLS green fields to highlight these features. And Wayne Beals, Managing Broker, The Beals Group at EXIT Strategy Realty will walk through a real client example of Pearl in action.

A solid hour of practical insight to bring to your next listing conversation.

Register: ","https://bit.ly/4tzDpw3","26","26","0","20","20","0","","7.69%","2","2","2","","0","0","0","0","0","0","0","","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BD_Early Access_2026"
"2/25/2026 8:54 am","7432422777799999488","LinkedIn","Post","Text","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7432422777799999488","For years, buyers were told to focus on price and finishes. Now they’re asking about operating costs, comfort, resilience, and how a home actually performs.
The shift isn’t theoretical anymore — and leaders like Craig Foley are seeing it firsthand across the real estate industry.

The agents who understand total cost of ownership will be the ones clients trust in the years ahead. If you’re ready to help lead that shift, we invite you to join Pearl’s Early Access Program. Read the article to find out more!",,"72","72","","","","","","9.72%","7","4","4","","","","","","","0","1","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/24/2026 12:30 pm","7432114673585381376","LinkedIn","Post","Text","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7432114673585381376","Thank you citybiz for the thoughtful conversation. We're thrilled to have had the opportunity to sit down and talk about what home performance transparency means for the real estate industry — and for the millions of homeowners whose homes tell a bigger story than what shows up in a listing. 

If you're curious about Pearl SCORE™ and how it's bringing visibility to the factors that shape daily life in a home, this Q&A with our CEO Cynthia Adams is a great place to start.",,"310","310","","","","","","9.35%","29","14","14","","","","","","","0","0","","15","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/23/2026 4:09 pm","18122928232602024","Instagram","Post","Photo","pearlhomescore","Katherine Cahill","https://www.instagram.com/p/DVHW7rlj_aG/","When the big storm rolls in, some people stay inside. This Pearlite laced up skates and hit the ice with her grandkids.

Hope everyone stayed safe and warm out there!
#PearlTeam #SnowDay #Hockey #FamilyTime #TeamCulture",,"94","94","","68","68","","","9.57%","9","9","9","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/20/2026 3:07 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mfcvvjlq5x2t","Bluesky","Post","Photo","'@pearlscore.bsky.social","Katherine Cahill","https://bsky.app/profile/pearlscore.bsky.social/post/3mfcvvjlq5x2t","Two homes, same price, very different performance. One costs less to run, stays more comfortable, and is better prepared for severe weather.
Pearl SCORE™ helps you see the difference before you decide.
Read more on the blog → https://bit.ly/4ct3BT5",,"","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_B2C Content Marketing_2026"
"2/20/2026 9:48 am","680101572127013_1567200341910406","Facebook","Post","Photo","Pearl SCORE","Katherine Cahill","https://www.facebook.com/469583165005468/posts/1567200341910406","Two homes. Same price. Same neighborhood. Which one is right for you?

One might have lower monthly operating costs, better insulation, and rooms that stay comfortable year-round. The other might look stunning but come with higher bills and systems nearing the end of their life.

Pearl SCORE™ helps you see the difference—measuring how well homes perform across the five critical performance pillars: Safety, Comfort, Operations, Resilience, and Energy. It's the difference between how a home looks versus what it's like to live in every day. 

The best part? Homes that have been claimed and verified by their owners have even more detailed data. That means sellers who've invested in their home can make sure you see what they've done.

Read more in our new homebuyer's guide → https://bit.ly/4ct3BT5","https://www.facebook.com/photo.php?fbid=1567200255243748&set=a.404992948131157&type=3","37","37","0","27","27","0","","2.7%","1","1","1","","0","0","0","0","0","0","0","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_B2C Content Marketing_2026"
"2/18/2026 12:53 pm","5mppurpcgg74inivgryvofze/app.bsky.feed.post/3mf5ni3qmjq2j","Bluesky","Post","Photo","'@pearlscore.bsky.social","Katherine Cahill","https://bsky.app/profile/pearlscore.bsky.social/post/3mf5ni3qmjq2j","More homebuyers than ever are asking about energy efficiency and operating costs before purchasing. The shift toward understanding total cost of ownership is here.
Read the blog post → https://bit.ly/3MwRxpf",,"","","","","","","","","0","0","0","","","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_B2B Content Marketing_2026"
"2/18/2026 10:05 am","680101572127013_1565330492097391","Facebook","Post","Photo","Pearl SCORE","Katherine Cahill","https://www.facebook.com/469583165005468/posts/1565330492097391","When you're buying a home, wouldn't you want to know the full picture—not just the purchase price, but what it will actually cost to live there?

Craig Foley, a national leader in real estate sustainability and a founding member of Pearl's Early Access Program, says the shift is already happening. More buyers are asking about energy efficiency, operating costs, and home performance than ever before.

Pearl SCORE™ helps you see how a home performs—so you can make confident buying decisions based on how a home lives, not just how it looks.

Read more on the blog. → https://bit.ly/3MwRxpf","https://www.facebook.com/photo.php?fbid=1565330465430727&set=a.404992948131157&type=3","259","259","0","143","143","0","","8.88%","23","15","14","","1","0","0","0","0","0","4","","1","","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MKTG_B2B Content Marketing_2026"
"2/18/2026 9:30 am","7427844040026456064","LinkedIn","Post","Photo","Pearl"," ","https://linkedin.com/feed/update/urn:li:share:7427844040026456064","""The shift is no longer theoretical. Agents used to tell me their clients never asked about energy efficiency. Now the NAR data shows that's flipped. The agents who understand total cost of ownership—not just purchase price—are the ones clients trust.""

Craig Foley has spent years greening the MLS, working on high-performance home valuation, and advocating at the national level as Chief Sustainability Officer on the NAR Executive Committee. As a founding member of Pearl's Early Access Program, Craig sees the trajectory clearly: the market is moving toward valuing homes for how they perform, not just how they look.

That's an exciting opportunity for agents ready to lead the shift.

Read more → https://lnkd.in/eSz-YWgc",,"897","897","","","","","","7.69%","69","34","34","","","","","","","0","7","","28","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
